Epoch 0 - train loss 10.981878280639648, val loss8.698328971862793
Epoch 0 - train loss tensor([10.9819], device='cuda:0', grad_fn=<DivBackward0>), val loss8.698328971862793
Epoch 0 - train loss tensor([3.8430], device='cuda:0'), val loss2.9779083728790283
Epoch 0 - train loss tensor([8.4566], device='cuda:0'), val loss5.977716445922852
Epoch 1 - train loss tensor([5.2421], device='cuda:0'), val loss4.544266223907471
Epoch 2 - train loss tensor([4.3960], device='cuda:0'), val loss4.038898944854736
Epoch 3 - train loss tensor([3.9863], device='cuda:0'), val loss3.691147565841675
Epoch 4 - train loss tensor([3.6758], device='cuda:0'), val loss3.3374834060668945
Epoch 5 - train loss tensor([3.3779], device='cuda:0'), val loss2.9876890182495117
Epoch 6 - train loss tensor([3.0980], device='cuda:0'), val loss2.68228816986084
Epoch 7 - train loss tensor([2.8562], device='cuda:0'), val loss2.46647310256958
Epoch 8 - train loss tensor([2.6607], device='cuda:0'), val loss2.301839590072632
Epoch 9 - train loss tensor([2.4944], device='cuda:0'), val loss2.184328317642212
Epoch 10 - train loss tensor([2.3473], device='cuda:0'), val loss2.0775225162506104
Epoch 11 - train loss tensor([2.2151], device='cuda:0'), val loss1.994560956954956
Epoch 12 - train loss tensor([2.0955], device='cuda:0'), val loss1.9090949296951294
Epoch 13 - train loss tensor([1.9835], device='cuda:0'), val loss1.8332442045211792
Epoch 14 - train loss tensor([1.8793], device='cuda:0'), val loss1.7722824811935425
Epoch 15 - train loss tensor([1.7851], device='cuda:0'), val loss1.707856297492981
Epoch 16 - train loss tensor([1.6967], device='cuda:0'), val loss1.6514679193496704
Epoch 17 - train loss tensor([1.6177], device='cuda:0'), val loss1.6046812534332275
Epoch 18 - train loss tensor([1.5459], device='cuda:0'), val loss1.5606191158294678
Epoch 19 - train loss tensor([1.4798], device='cuda:0'), val loss1.5165642499923706
Epoch 20 - train loss tensor([1.4205], device='cuda:0'), val loss1.4856725931167603
Epoch 21 - train loss tensor([1.3666], device='cuda:0'), val loss1.4515620470046997
Epoch 22 - train loss tensor([1.3193], device='cuda:0'), val loss1.4205323457717896
Epoch 23 - train loss tensor([1.2762], device='cuda:0'), val loss1.4011436700820923
Epoch 24 - train loss tensor([1.2349], device='cuda:0'), val loss1.377640962600708
Epoch 25 - train loss tensor([1.1977], device='cuda:0'), val loss1.3561440706253052
Epoch 26 - train loss tensor([1.1624], device='cuda:0'), val loss1.3392887115478516
Epoch 27 - train loss tensor([1.1302], device='cuda:0'), val loss1.3281091451644897
Epoch 28 - train loss tensor([1.0998], device='cuda:0'), val loss1.322000503540039
Epoch 29 - train loss tensor([1.0702], device='cuda:0'), val loss1.3181284666061401
Epoch 30 - train loss tensor([1.0410], device='cuda:0'), val loss1.3159098625183105
Epoch 31 - train loss tensor([1.0169], device='cuda:0'), val loss1.3175612688064575
Epoch 32 - train loss tensor([0.9899], device='cuda:0'), val loss1.3222384452819824
Epoch 33 - train loss tensor([0.9604], device='cuda:0'), val loss1.3345128297805786
Epoch 34 - train loss tensor([0.9327], device='cuda:0'), val loss1.3664302825927734
Epoch 35 - train loss tensor([0.9044], device='cuda:0'), val loss1.391021490097046
Epoch 0 - train loss tensor([7.5025], device='cuda:0'), val loss5.0390496253967285
Epoch 1 - train loss tensor([4.6632], device='cuda:0'), val loss4.12508487701416
Epoch 2 - train loss tensor([4.0517], device='cuda:0'), val loss3.714360237121582
Epoch 3 - train loss tensor([3.6796], device='cuda:0'), val loss3.3241028785705566
Epoch 4 - train loss tensor([3.3342], device='cuda:0'), val loss2.9332332611083984
Epoch 5 - train loss tensor([3.0165], device='cuda:0'), val loss2.6205739974975586
Epoch 6 - train loss tensor([2.7373], device='cuda:0'), val loss2.400561809539795
Epoch 7 - train loss tensor([2.4939], device='cuda:0'), val loss2.2367305755615234
Epoch 8 - train loss tensor([2.2852], device='cuda:0'), val loss2.100414514541626
Epoch 9 - train loss tensor([2.1033], device='cuda:0'), val loss1.9880009889602661
Epoch 10 - train loss tensor([1.9426], device='cuda:0'), val loss1.8830726146697998
Epoch 11 - train loss tensor([1.8018], device='cuda:0'), val loss1.7949713468551636
Epoch 12 - train loss tensor([1.6798], device='cuda:0'), val loss1.7204439640045166
Epoch 13 - train loss tensor([1.5721], device='cuda:0'), val loss1.6595351696014404
Epoch 14 - train loss tensor([1.4787], device='cuda:0'), val loss1.615187168121338
Epoch 15 - train loss tensor([1.3985], device='cuda:0'), val loss1.5683817863464355
Epoch 16 - train loss tensor([1.3257], device='cuda:0'), val loss1.5288246870040894
Epoch 17 - train loss tensor([1.2605], device='cuda:0'), val loss1.5202027559280396
Epoch 18 - train loss tensor([1.1964], device='cuda:0'), val loss1.5048179626464844
Epoch 19 - train loss tensor([1.1328], device='cuda:0'), val loss1.5117719173431396
Epoch 20 - train loss tensor([1.0743], device='cuda:0'), val loss1.526059865951538
Epoch 21 - train loss tensor([1.0188], device='cuda:0'), val loss1.5622994899749756
Epoch 22 - train loss tensor([0.9646], device='cuda:0'), val loss1.5823028087615967
Epoch 23 - train loss tensor([0.9079], device='cuda:0'), val loss1.600523829460144
Epoch 0 - train loss tensor([9.7138], device='cuda:0'), val loss7.8662872314453125
Epoch 1 - train loss tensor([6.7142], device='cuda:0'), val loss5.162237167358398
Epoch 2 - train loss tensor([4.7847], device='cuda:0'), val loss3.7678022384643555
Epoch 3 - train loss tensor([3.3982], device='cuda:0'), val loss2.4025516510009766
